WWV_tone,WWV_power,WWV_freq_dev,WWVH_tone,WWVH_power,WWVH_freq_dev,Noise_power
500.0,6.896057129779365e-07,-20.274999999999977,600.0,1.846110251335631e-07,94.70000000000005,1.1305505e-06
600.0,0.033524565398693085,-0.25,500.0,0.033524565398693085,99.75,2.9765704e-06
500.0,0.010606680065393448,-0.19999999999998863,600.0,9.601838974049315e-05,-0.17499999999995453,2.5982788e-06
600.0,0.02170415408909321,-0.1999999999999318,500.0,0.02170415408909321,99.80000000000007,2.7110814e-06
500.0,0.011222677305340767,-0.25,600.0,0.00010125815606443211,-0.25,3.3606962e-06
600.0,0.036575932055711746,-0.27499999999997726,500.0,0.036575932055711746,99.72500000000002,4.572796e-06
500.0,0.03031480684876442,-0.2999999999999545,600.0,0.00026084372075274587,-0.2999999999999545,1.2086213e-06
,,,,,,1.0461619e-06
1000.0,2.521508577046916e-06,-22.174999999999955,1200.0,5.504627438313037e-07,-99.17499999999995,7.5703406e-07
600.0,0.009040512144565582,-0.17499999999995453,440.0,0.00012274844630155712,59.825000000000045,1.6729463e-06
440.0,0.009353337809443474,-0.19999999999998863,600.0,0.0001145273563452065,-60.19999999999993,1.1802526e-06
600.0,6.952350162237053e-08,84.77500000000009,500.0,2.3056995246406586e-07,-20.125,1.1813836e-06
500.0,7.6151177381689195e-06,-43.75,600.0,4.493115284276428e-06,-70.60000000000002,1.0318656e-06
600.0,0.008561820723116398,-0.2999999999999545,500.0,0.008561820723116398,99.70000000000005,9.285639e-07
500.0,0.00808844342827797,-0.25,600.0,7.600160461151972e-05,-0.25,1.258493e-06
600.0,0.008953534997999668,-0.27499999999997726,500.0,0.008953534997999668,99.72500000000002,8.433192e-07
,,,,,,2.1821502e-06
,,,,,,1.1623104e-06
,,,,,,9.4185526e-07
600.0,0.009418080560863018,-0.17499999999995453,500.0,0.009418080560863018,99.82500000000005,1.256216e-06
500.0,0.011268297210335732,-0.14999999999997726,600.0,0.00013855769066140056,-0.14999999999997726,1.3008986e-06
600.0,0.004543839022517204,-0.125,500.0,0.004543839022517204,99.875,1.1594929e-06
,,,,,,1.1646822e-06
,,,,,,1.5968899e-06
500.0,0.010035541839897633,-0.125,,,,2.6248335e-06
600.0,0.01329820230603218,-0.1999999999999318,,,,3.6781998e-06
,,,,,,6.1301854e-08
600.0,4.851925405091606e-05,-0.27499999999997726,,,,3.679619e-08
500.0,6.502511678263545e-05,-0.2249999999999659,600.0,1.6042702554841526e-05,-0.75,3.672682e-08
600.0,3.4550150303402916e-05,-0.27499999999997726,500.0,3.4550150303402916e-05,99.72500000000002,3.5328842e-08
500.0,4.674636511481367e-05,-0.024999999999977263,600.0,4.474163142731413e-05,-99.92499999999995,3.494306e-08
600.0,2.941147977253422e-05,-0.17499999999995453,500.0,3.6246121453586966e-05,-0.7249999999999659,4.3846022e-08
500.0,7.361379539361224e-05,-0.17499999999995453,600.0,3.550683322828263e-05,-0.7250000000000227,3.2329158e-08
600.0,2.1747197024524212e-05,-0.22500000000002274,500.0,2.98760332952952e-05,-0.7249999999999659,4.887863e-08
500.0,5.6067059631459415e-05,-0.2249999999999659,600.0,1.9992829038528726e-05,-99.77499999999998,4.3664034e-08
600.0,4.6603996452176943e-05,-0.17499999999995453,500.0,4.6603996452176943e-05,99.82500000000005,3.530465e-08
500.0,2.9753693524980918e-05,98.77499999999998,600.0,2.9753693524980918e-05,-1.2250000000000227,3.6163634e-08
,,,,,,2.6117974e-08
,,,,,,4.4301284e-08
